experimento,repeticion,modo,vacas,estrellas,hilos,estrellas_paralelas,schedule,chunk,semilla,ms_sim_avg,ms_sim_p95,ms_pasada_a_avg,ms_pasada_b_avg,ms_render_avg,fps
speedup,1,serial,1000,180,1,0,static,0,1234,17.562425,18.860500,17.426125,0.098990,0.000000,56.940
speedup,1,paralelo,1000,180,1,0,static,0,1234,17.870790,18.240800,17.749825,0.085710,0.000000,55.957
speedup,1,paralelo,1000,180,2,0,static,0,1234,11.203705,22.356100,10.414800,0.402200,0.000000,89.256
speedup,1,paralelo,1000,180,4,0,static,0,1234,6.560450,6.901600,6.425050,0.098585,0.000000,152.429
speedup,1,paralelo,1000,180,8,0,static,0,1234,4.211770,5.631300,4.080275,0.097575,0.000000,237.430
speedup,2,serial,1000,180,1,0,static,0,1234,19.295305,20.886600,19.148900,0.106005,0.000000,51.826
speedup,2,paralelo,1000,180,1,0,static,0,1234,19.610610,23.131000,19.474680,0.096675,0.000000,50.993
speedup,2,paralelo,1000,180,2,0,static,0,1234,10.237635,13.153400,10.101125,0.097085,0.000000,97.679
speedup,2,paralelo,1000,180,4,0,static,0,1234,6.715695,7.174600,6.585590,0.091380,0.000000,148.905
speedup,2,paralelo,1000,180,8,0,static,0,1234,6.933065,8.608800,6.724995,0.152725,0.000000,144.236
speedup,3,serial,1000,180,1,0,static,0,1234,46.054080,69.601200,44.679115,0.772960,0.000000,21.714
speedup,3,paralelo,1000,180,1,0,static,0,1234,27.040390,30.556300,26.845410,0.135170,0.000000,36.982
speedup,3,paralelo,1000,180,2,0,static,0,1234,14.452610,16.104800,14.236590,0.157695,0.000000,69.192
speedup,3,paralelo,1000,180,4,0,static,0,1234,10.272395,10.614000,10.062345,0.151715,0.000000,97.348
speedup,3,paralelo,1000,180,8,0,static,0,1234,7.527110,9.278000,7.291880,0.178395,0.000000,132.853
speedup,4,serial,1000,180,1,0,static,0,1234,56.826635,80.775100,55.805475,0.590755,0.000000,17.597
speedup,4,paralelo,1000,180,1,0,static,0,1234,30.484950,35.093300,30.275990,0.149720,0.000000,32.803
speedup,4,paralelo,1000,180,2,0,static,0,1234,15.801865,17.790600,15.577655,0.161940,0.000000,63.284
speedup,4,paralelo,1000,180,4,0,static,0,1234,11.167300,13.778000,10.955130,0.153870,0.000000,89.547
speedup,4,paralelo,1000,180,8,0,static,0,1234,12.671070,15.209100,12.220740,0.298395,0.000000,78.920
speedup,5,serial,1000,180,1,0,static,0,1234,32.103290,34.573500,31.863595,0.175800,0.000000,31.149
speedup,5,paralelo,1000,180,1,0,static,0,1234,30.009000,35.320800,29.811515,0.143870,0.000000,33.323
speedup,5,paralelo,1000,180,2,0,static,0,1234,16.112355,18.183000,15.875235,0.176195,0.000000,62.064
speedup,5,paralelo,1000,180,4,0,static,0,1234,10.119160,10.844500,9.903895,0.153830,0.000000,98.822
speedup,5,paralelo,1000,180,8,0,static,0,1234,8.706595,10.068800,8.437645,0.203495,0.000000,114.855
speedup,6,serial,1000,180,1,0,static,0,1234,18.383610,18.976300,18.241160,0.102760,0.000000,54.396
speedup,6,paralelo,1000,180,1,0,static,0,1234,21.109690,22.864000,20.942220,0.123280,0.000000,47.372
speedup,6,paralelo,1000,180,2,0,static,0,1234,14.807565,18.197300,14.601770,0.148445,0.000000,67.533
speedup,6,paralelo,1000,180,4,0,static,0,1234,10.905870,11.753000,10.675120,0.163785,0.000000,91.694
speedup,6,paralelo,1000,180,8,0,static,0,1234,8.922235,10.698600,8.666375,0.189470,0.000000,112.080
speedup,7,serial,1000,180,1,0,static,0,1234,22.208490,23.233300,22.045045,0.117970,0.000000,45.028
speedup,7,paralelo,1000,180,1,0,static,0,1234,28.631255,32.291200,28.443425,0.134565,0.000000,34.927
speedup,7,paralelo,1000,180,2,0,static,0,1234,27.226270,40.820600,23.210235,1.761660,0.000000,36.729
speedup,7,paralelo,1000,180,4,0,static,0,1234,12.662480,13.192300,12.394570,0.186080,0.000000,78.973
speedup,7,paralelo,1000,180,8,0,static,0,1234,10.281185,13.336200,9.974750,0.231605,0.000000,97.265
speedup,8,serial,1000,180,1,0,static,0,1234,35.250260,39.768100,35.019005,0.164645,0.000000,28.369
speedup,8,paralelo,1000,180,1,0,static,0,1234,34.377235,37.524300,34.131580,0.174660,0.000000,29.089
speedup,8,paralelo,1000,180,2,0,static,0,1234,18.055750,20.359900,17.804570,0.181990,0.000000,55.384
speedup,8,paralelo,1000,180,4,0,static,0,1234,12.616380,13.909900,12.346910,0.194100,0.000000,79.262
speedup,8,paralelo,1000,180,8,0,static,0,1234,10.188150,11.509700,9.887550,0.226665,0.000000,98.153
speedup,9,serial,1000,180,1,0,static,0,1234,29.287410,31.300700,29.067450,0.158165,0.000000,34.144
speedup,9,paralelo,1000,180,1,0,static,0,1234,34.687660,40.227400,34.465015,0.159355,0.000000,28.829
speedup,9,paralelo,1000,180,2,0,static,0,1234,17.960040,22.350700,17.732880,0.160980,0.000000,55.679
speedup,9,paralelo,1000,180,4,0,static,0,1234,12.541640,13.178800,12.277920,0.189345,0.000000,79.734
speedup,9,paralelo,1000,180,8,0,static,0,1234,9.852835,11.623500,9.574250,0.210560,0.000000,101.494
speedup,10,serial,1000,180,1,0,static,0,1234,28.741605,31.244800,28.521845,0.161690,0.000000,34.793
speedup,10,paralelo,1000,180,1,0,static,0,1234,28.287775,31.370400,28.100405,0.133055,0.000000,35.351
speedup,10,paralelo,1000,180,2,0,static,0,1234,17.090765,19.784100,16.838290,0.184725,0.000000,58.511
speedup,10,paralelo,1000,180,4,0,static,0,1234,12.094760,12.880300,11.843470,0.176805,0.000000,82.680
speedup,10,paralelo,1000,180,8,0,static,0,1234,9.393845,11.531400,9.094595,0.223365,0.000000,106.453
speedup,1,serial,3000,180,1,0,static,0,1234,293.943935,313.163200,293.388875,0.492545,0.000000,3.402
speedup,1,paralelo,3000,180,1,0,static,0,1234,280.653330,319.906100,280.138010,0.449360,0.000000,3.563
speedup,1,paralelo,3000,180,2,0,static,0,1234,170.303965,244.498900,169.580440,0.432170,0.000000,5.872
speedup,1,paralelo,3000,180,4,0,static,0,1234,122.550690,158.476400,122.117300,0.342995,0.000000,8.160
speedup,1,paralelo,3000,180,8,0,static,0,1234,110.135740,153.694300,109.289080,0.629735,0.000000,9.080
speedup,2,serial,3000,180,1,0,static,0,1234,314.529485,384.934100,313.878115,0.568305,0.000000,3.179
speedup,2,paralelo,3000,180,1,0,static,0,1234,300.004455,352.061500,299.521145,0.424290,0.000000,3.333
speedup,2,paralelo,3000,180,2,0,static,0,1234,166.477895,245.142700,165.955470,0.416870,0.000000,6.007
speedup,2,paralelo,3000,180,4,0,static,0,1234,121.589500,180.181800,121.190615,0.316415,0.000000,8.224
speedup,2,paralelo,3000,180,8,0,static,0,1234,141.693595,192.140200,140.951085,0.540215,0.000000,7.057
speedup,3,serial,3000,180,1,0,static,0,1234,295.983545,460.428300,295.392145,0.524690,0.000000,3.379
speedup,3,paralelo,3000,180,1,0,static,0,1234,347.164300,487.880800,346.597960,0.500430,0.000000,2.880
speedup,3,paralelo,3000,180,2,0,static,0,1234,169.021345,188.369800,168.564185,0.381850,0.000000,5.916
speedup,3,paralelo,3000,180,4,0,static,0,1234,109.111515,142.996600,108.641945,0.351875,0.000000,9.165
speedup,3,paralelo,3000,180,8,0,static,0,1234,115.736620,158.907100,114.718455,0.526370,0.000000,8.640
speedup,4,serial,3000,180,1,0,static,0,1234,381.687025,473.284900,380.935760,0.672770,0.000000,2.620
speedup,4,paralelo,3000,180,1,0,static,0,1234,352.161640,433.985400,351.660485,0.435055,0.000000,2.840
speedup,4,paralelo,3000,180,2,0,static,0,1234,213.516180,314.082000,212.836070,0.597400,0.000000,4.683
speedup,4,paralelo,3000,180,4,0,static,0,1234,93.573285,99.946800,93.228665,0.270060,0.000000,10.687
speedup,4,paralelo,3000,180,8,0,static,0,1234,134.110470,179.965600,133.487505,0.512810,0.000000,7.457
speedup,5,serial,3000,180,1,0,static,0,1234,241.611030,297.855300,241.153435,0.405890,0.000000,4.139
speedup,5,paralelo,3000,180,1,0,static,0,1234,245.853310,318.577700,245.449165,0.350225,0.000000,4.067
speedup,5,paralelo,3000,180,2,0,static,0,1234,161.752275,173.186600,161.329710,0.357020,0.000000,6.182
speedup,5,paralelo,3000,180,4,0,static,0,1234,109.238150,116.234600,108.834945,0.321845,0.000000,9.154
speedup,5,paralelo,3000,180,8,0,static,0,1234,81.674385,89.246500,81.253805,0.334470,0.000000,12.244
speedup,6,serial,3000,180,1,0,static,0,1234,228.620275,247.422600,228.171155,0.398730,0.000000,4.374
speedup,6,paralelo,3000,180,1,0,static,0,1234,222.340455,235.783700,221.958210,0.334610,0.000000,4.498
speedup,6,paralelo,3000,180,2,0,static,0,1234,145.498620,155.798800,145.095435,0.341710,0.000000,6.873
speedup,6,paralelo,3000,180,4,0,static,0,1234,97.387825,105.071600,97.015120,0.295820,0.000000,10.268
speedup,6,paralelo,3000,180,8,0,static,0,1234,82.149385,89.843100,81.738480,0.326485,0.000000,12.173
speedup,7,serial,3000,180,1,0,static,0,1234,246.477400,286.347800,246.023305,0.401820,0.000000,4.057
speedup,7,paralelo,3000,180,1,0,static,0,1234,224.355105,241.818700,223.972340,0.334180,0.000000,4.457
speedup,7,paralelo,3000,180,2,0,static,0,1234,148.874155,162.120600,148.472955,0.341770,0.000000,6.717
speedup,7,paralelo,3000,180,4,0,static,0,1234,98.361845,103.417100,97.991745,0.293285,0.000000,10.167
speedup,7,paralelo,3000,180,8,0,static,0,1234,82.091225,94.997000,81.693135,0.310050,0.000000,12.182
speedup,8,serial,3000,180,1,0,static,0,1234,322.669255,429.774900,322.070745,0.520985,0.000000,3.099
speedup,8,paralelo,3000,180,1,0,static,0,1234,201.223970,221.703000,200.895825,0.285085,0.000000,4.970
speedup,8,paralelo,3000,180,2,0,static,0,1234,136.286860,150.477100,135.929935,0.306520,0.000000,7.337
speedup,8,paralelo,3000,180,4,0,static,0,1234,87.675640,93.990100,87.336665,0.263040,0.000000,11.406
speedup,8,paralelo,3000,180,8,0,static,0,1234,64.756715,71.187700,64.418750,0.267960,0.000000,15.442
speedup,9,serial,3000,180,1,0,static,0,1234,196.690710,217.954800,196.328480,0.319115,0.000000,5.084
speedup,9,paralelo,3000,180,1,0,static,0,1234,200.187540,215.272500,199.871880,0.275350,0.000000,4.995
speedup,9,paralelo,3000,180,2,0,static,0,1234,131.841455,151.754600,131.483900,0.304955,0.000000,7.585
speedup,9,paralelo,3000,180,4,0,static,0,1234,93.553335,106.827900,93.198545,0.282190,0.000000,10.689
speedup,9,paralelo,3000,180,8,0,static,0,1234,72.546960,86.752200,72.176500,0.292145,0.000000,13.784
speedup,10,serial,3000,180,1,0,static,0,1234,202.113065,221.515200,201.708940,0.358430,0.000000,4.948
speedup,10,paralelo,3000,180,1,0,static,0,1234,258.872325,332.412700,258.455020,0.356745,0.000000,3.863
speedup,10,paralelo,3000,180,2,0,static,0,1234,161.117805,190.264400,160.693385,0.361710,0.000000,6.207
speedup,10,paralelo,3000,180,4,0,static,0,1234,90.183440,102.224500,89.836825,0.272850,0.000000,11.089
speedup,10,paralelo,3000,180,8,0,static,0,1234,76.268420,106.731600,75.819760,0.346085,0.000000,13.112
speedup,1,serial,5000,180,1,0,static,0,1234,813.169855,958.406800,812.234675,0.866690,0.000000,1.230
speedup,1,paralelo,5000,180,1,0,static,0,1234,644.377640,729.287600,643.756325,0.572115,0.000000,1.552
speedup,1,paralelo,5000,180,2,0,static,0,1234,593.604695,967.357200,590.929885,1.355125,0.000000,1.685
speedup,1,paralelo,5000,180,4,0,static,0,1234,270.457570,284.745100,269.988035,0.392775,0.000000,3.697
speedup,1,paralelo,5000,180,8,0,static,0,1234,272.541975,303.754000,271.770440,0.532710,0.000000,3.669
