experimento,modo,vacas,estrellas,hilos,estrellas_paralelas,schedule,chunk,semilla,mediciones,ms_sim_promedio,ms_sim_desviacion,speedup,eficiencia
estrellas,paralelo,1,10000,8,0,static,0,1234,10,2.431504,0.688159,0.975505,0.121938
estrellas,paralelo,1,10000,8,1,static,0,1234,10,1.026498,0.221682,2.310716,0.288840
estrellas,paralelo,1,180,8,0,static,0,1234,10,0.385463,0.110957,0.247793,0.030974
estrellas,paralelo,1,180,8,1,static,0,1234,10,0.482544,0.131523,0.197940,0.024743
estrellas,serial,1,10000,1,0,static,0,1234,10,2.371945,0.658604,1.000000,1.000000
estrellas,serial,1,180,1,0,static,0,1234,10,0.095515,0.025829,1.000000,1.000000
false_sharing,paralelo,3000,180,8,0,static,0,1234,10,106.611309,7.206612,3.131190,0.391399
false_sharing,paralelo,3000,180,8,0,static,1,1234,10,95.845360,13.203190,3.482905,0.435363
false_sharing,serial,3000,180,1,0,static,0,1234,10,333.820250,43.412851,1.000000,1.000000
schedule,paralelo,5000,180,8,0,dynamic,0,1234,10,244.201649,61.966511,3.136630,0.392079
schedule,paralelo,5000,180,8,0,guided,0,1234,10,242.985918,69.287402,3.152324,0.394040
schedule,paralelo,5000,180,8,0,static,0,1234,10,229.545787,52.214982,3.336895,0.417112
schedule,serial,5000,180,1,0,static,0,1234,10,765.970246,237.738750,1.000000,1.000000
speedup,paralelo,1000,180,1,0,static,0,1234,10,27.210936,5.880665,1.123494,1.123494
speedup,paralelo,1000,180,2,0,static,0,1234,10,16.294856,4.648714,1.876133,0.938066
speedup,paralelo,1000,180,4,0,static,0,1234,10,10.565613,2.272340,2.893473,0.723368
speedup,paralelo,1000,180,8,0,static,0,1234,10,8.868786,2.277939,3.447068,0.430884
speedup,paralelo,3000,180,1,0,static,0,1234,10,263.281643,55.710522,1.034757,1.034757
speedup,paralelo,3000,180,2,0,static,0,1234,10,160.469055,23.057686,1.697727,0.848863
speedup,paralelo,3000,180,4,0,static,0,1234,10,102.322523,12.603730,2.662489,0.665622
speedup,paralelo,3000,180,8,0,static,0,1234,10,96.116351,27.153004,2.834404,0.354301
speedup,paralelo,5000,180,1,0,static,0,1234,10,794.685560,120.179988,0.920935,0.920935
speedup,paralelo,5000,180,2,0,static,0,1234,10,500.012151,71.657591,1.463672,0.731836
speedup,paralelo,5000,180,4,0,static,0,1234,10,322.922161,35.418167,2.266347,0.566587
speedup,paralelo,5000,180,8,0,static,0,1234,10,267.486805,36.495946,2.736036,0.342005
speedup,serial,1000,180,1,0,static,0,1234,10,30.571311,12.793880,1.000000,1.000000
speedup,serial,3000,180,1,0,static,0,1234,10,272.432572,59.136955,1.000000,1.000000
speedup,serial,5000,180,1,0,static,0,1234,10,731.853645,89.251492,1.000000,1.000000
